frequency_thz,n,k,eps1,eps2,sigma_re,sigma_im
,3.35516,0.00537,11.25707,0.03601,,
,3.35824,0.00796,11.27771,0.05349,,
,3.36134,0.01185,11.29845,0.07968,,
,3.36442,0.01747,11.31904,0.11756,,
,3.36744,0.02565,11.33898,0.17274,,
,3.37023,0.0383,11.35701,0.25818,,
,3.37206,0.06213,11.36695,0.41901,,
,3.48728,0.11049,12.14888,0.77061,,
,3.47971,0.05159,12.10572,0.35903,,
,3.48158,0.03291,12.12029,0.22914,,
,3.48385,0.02202,12.13671,0.1534,,
,3.48615,0.01468,12.153,0.10237,,
,3.48839,0.00944,12.16875,0.06586,,
,3.49055,0.00559,12.18388,0.03905,,
,3.49262,0.00275,12.19838,0.01923,,
,3.49461,0.00067179,12.21231,0.0047,,
,3.49654,-0.000816117,12.22577,-0.00571,,
,3.49841,-0.00183,12.23888,-0.01279,,
,3.50025,-0.00245,12.25176,-0.01713,,
,3.50208,-0.00274,12.26456,-0.01918,,
,3.50392,-0.00275,12.27742,-0.01924,,
,3.50578,-0.0025,12.2905,-0.01753,,
,3.5077,-0.00203,12.30396,-0.01421,,
,3.50969,-0.00133,12.31794,-0.00935,,
,3.51178,-0.000425222,12.33258,-0.00299,,
,3.51398,0.00069934,12.34804,0.00491,,
,3.51631,0.00205,12.36442,0.01442,,
,3.51878,0.00364,12.38183,0.02563,,
,3.52142,0.00549,12.40036,0.03869,,
,3.52422,0.00762,12.42005,0.05374,,
,3.52719,0.01005,12.44096,0.07093,,
,3.53034,0.0128,12.46312,0.0904,,
,3.53367,0.01589,12.48659,0.11229,,
,3.53721,0.01932,12.51149,0.13668,,
,3.54098,0.0231,12.53804,0.16362,,
,3.54504,0.02724,12.5666,0.19311,,
,3.54948,0.0317,12.59783,0.22506,,
,3.55444,0.03646,12.63275,0.25917,,
,3.56014,0.04138,12.67285,0.29466,,
,3.56682,0.04622,12.72006,0.32973,,
,3.57471,0.05046,12.77604,0.36078,,
,3.58372,0.05332,12.8402,0.38214,,
,3.5931,0.05408,12.90744,0.38861,,
,3.60174,0.05274,12.96974,0.3799,,
,3.60889,0.05,13.02155,0.36091,,
,3.61444,0.04668,13.06198,0.33742,,
,3.61864,0.04328,13.0927,0.31323,,
,3.6218,0.04007,13.11583,0.29024,,
,3.62416,0.03714,13.13319,0.26922,,
,3.62592,0.03453,13.14614,0.25043,,
,3.62722,0.03224,13.15569,0.23387,,
,3.62815,0.03025,13.16259,0.21949,,
,3.6288,0.02855,13.16741,0.20717,,
,3.62923,0.02711,13.17058,0.19679,,
,3.62948,0.02593,13.17245,0.18825,,
,3.62958,0.02499,13.17326,0.18143,,
,3.62958,0.02428,13.17323,0.17624,,
,3.62947,0.02377,13.1725,0.17257,,
,3.62929,0.02347,13.17116,0.17033,,
,3.62903,0.02335,13.16931,0.16944,,
,3.62871,0.0234,13.16696,0.16981,,
,3.62832,0.02361,13.16414,0.17136,,
,3.62787,0.02398,13.16084,0.174,,
,3.62735,0.02448,13.15707,0.17763,,
,3.62676,0.02511,13.15278,0.18216,,
,3.62611,0.02585,13.14798,0.1875,,
,3.62538,0.02669,13.14264,0.19353,,
,3.62457,0.02761,13.13678,0.20014,,
,3.6237,0.02859,13.13039,0.20723,,
,3.62276,0.02963,13.12354,0.2147,,
,3.62177,0.03071,13.11627,0.22245,,
,3.62073,0.03182,13.10869,0.23043,,
,3.61967,0.03296,13.1009,0.23861,,
