Reference	Reference	Reference	windowed Reference	windowed Reference	windowed Reference	Sample	Sample	Sample	windowed Sample	windowed Sample	windowed Sample
Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error
123.1	0.02336		123.1	0.02336		125.34999999999998	0.00153		125.69999999999999	-0.00159	
123.15	0.02121		123.15	0.02121		125.4	0.00162		125.75	-0.000748667	
123.2	0.01257		123.2	0.01257		125.44999999999999	0.00123		125.8	0.000306667	
123.24999999999999	0.00248		123.24999999999999	0.00248		125.5	0.000438667		125.84999999999998	0.00133	
123.3	-0.00742		123.3	-0.00742		125.55	-0.000538		125.9	0.0017	
123.35	-0.01263		123.35	-0.01263		125.59999999999998	-0.00146		125.94999999999999	0.00125	
123.4	-0.01201		123.4	-0.01201		125.65	-0.00181		126.0	0.000381333	
123.45	-0.00642		123.45	-0.00642		125.69999999999999	-0.00159		126.05	-0.000749333	
123.49999999999999	0.000946		123.49999999999999	0.000946		125.75	-0.000748667		126.09999999999998	-0.00144	
123.55	0.00658		123.55	0.00658		125.8	0.000306667		126.15	-0.00125	
123.6	0.00813		123.6	0.00813		125.84999999999998	0.00133		126.19999999999999	-0.000572667	
123.65	0.00526		123.65	0.00526		125.9	0.0017		126.25	0.000378	
123.7	-0.000310333		123.7	-0.000310333		125.94999999999999	0.00125		126.3	0.00109	
123.74999999999999	-0.00516		123.74999999999999	-0.00516		126.0	0.000381333		126.34999999999998	0.00113	
123.8	-0.00705		123.8	-0.00705		126.05	-0.000749333		126.39999999999999	0.000571333	
123.85	-0.00501		123.85	-0.00501		126.09999999999998	-0.00144		126.45000000000002	-0.000156667	
123.9	-0.000581		123.9	-0.000581		126.15	-0.00125		126.5	-0.000808	
123.95	0.00379		123.95	0.00379		126.19999999999999	-0.000572667		126.55	-0.000919333	
123.99999999999999	0.00571		123.99999999999999	0.00571		126.25	0.000378		126.59999999999998	-0.000563333	
124.05	0.00448		124.05	0.00448		126.3	0.00109		126.64999999999999	0.000103333	
124.1	0.00141		124.1	0.00141		126.34999999999998	0.00113		126.70000000000002	0.000518667	
124.15	-0.00202		124.15	-0.00202		126.39999999999999	0.000571333		126.75	0.000597333	
124.19999999999999	-0.00363		124.19999999999999	-0.00363		126.45000000000002	-0.000156667		126.8	0.000294	
124.25000000000001	-0.00313		124.25000000000001	-0.00313		126.5	-0.000808		126.84999999999998	-7.86667e-05	
124.3	-0.00122		124.3	-0.00122		126.55	-0.000919333		126.89999999999999	-0.000425333	
124.35	0.00085		124.35	0.00085		126.59999999999998	-0.000563333		126.95000000000002	-0.000501333	
