freq_THz,fft_mag,n,k,eps_real,eps_imag,sigma_real,sigma_imag
2.570532915360377313e+00,1.951451025602762152e-02,1.110511642461183168e+00,6.934987674150734464e-03,1.233188013987794207e+00,1.540276910493838455e-02,2.202675762314573404e+00,-3.334709382279224599e+01
2.591431556948673443e+00,1.807292345384707566e-02,1.109566935828800283e+00,6.733389126916527849e-03,1.231093446555378446e+00,1.494229188259146510e-02,2.154197696495906200e+00,-3.331623917913710642e+01
2.612330198536969128e+00,1.653553427734444012e-02,1.108805713594920972e+00,6.585970001904011689e-03,1.229406735499875891e+00,1.460512233535184168e-02,2.122569250778445049e+00,-3.333978802182831203e+01
2.633228840125265258e+00,1.499463539221484142e-02,1.108168970858813385e+00,6.582156042381428693e-03,1.227995143196115357e+00,1.458828217503589653e-02,2.137082837313314609e+00,-3.339971777821816801e+01
2.654127481713560499e+00,1.358051561982031794e-02,1.107526999285441738e+00,6.724224837860321921e-03,1.226570838946544839e+00,1.489452111439215631e-02,2.199261753877323144e+00,-3.345448818475623654e+01
2.675026123301856185e+00,1.240291529166141424e-02,1.106771053383253989e+00,6.888130203328490450e-03,1.224894718269379679e+00,1.524716624195776235e-02,2.269058858610979446e+00,-3.346847175704651534e+01
2.695924764890152314e+00,1.148992487296443717e-02,1.105921568891890638e+00,6.895831209550656177e-03,1.223014964052230091e+00,1.525249694015985182e-02,2.287585384614963857e+00,-3.344801669640369823e+01
2.716823406478447556e+00,1.076893301738751640e-02,1.105123603162275758e+00,6.663289028823184482e-03,1.221253778845689419e+00,1.472751596088947741e-02,2.225971044487446981e+00,-3.344111162410777638e+01
2.737722048066743685e+00,1.011127914838829030e-02,1.104521238578498599e+00,6.270974591548317614e-03,1.219927841348652731e+00,1.385284924590248455e-02,2.109876621779128492e+00,-3.349640227097133760e+01
2.758620689655039371e+00,9.405750905464391881e-03,1.104142641426903992e+00,5.905204345476059921e-03,1.219096101178818836e+00,1.304037584835913630e-02,2.001293092085477454e+00,-3.362445368836544191e+01
2.779519331243335500e+00,8.608226611656574420e-03,1.103868331552545268e+00,5.746192150130230956e-03,1.218492274680373688e+00,1.268607908308918078e-02,1.961668921686568590e+00,-3.378581373029906842e+01
